,國際證券辨識號碼,上市日,市場別,產業別,CFICode,備註,股票代號,股票名稱,類型
2003,TW0006461007,2018/03/28,上櫃,生技醫療業,ESVUFR,,6461,益得,股票
2004,TW0006462005,2015/12/23,上櫃,半導體業,ESVUFR,,6462,神盾,股票
2005,TW0006465008,2015/11/20,上櫃,通信網路業,ESVUFR,,6465,威潤,股票
2006,TW0006469000,2016/03/30,上櫃,生技醫療業,ESVUFR,,6469,大樹,股票
2007,TW0006470008,2015/11/03,上櫃,通信網路業,ESVUFR,,6470,宇智,股票
2008,TW0006482003,2016/06/13,上櫃,文化創意業,ESVUFR,,6482,弘煜科,股票
2009,TW0006485006,2015/11/17,上櫃,半導體業,ESVUFR,,6485,點序,股票
2010,TW0006486004,2016/09/13,上櫃,通信網路業,ESVUFR,,6486,互動,股票
2011,TW0006488000,2015/09/25,上櫃,半導體業,ESVUFR,,6488,環球晶,股票
2012,TW0006492002,2017/04/24,上櫃,生技醫療業,ESVUFR,,6492,生華科,股票
2013,TW0006494008,2016/05/09,上櫃,半導體業,ESVUFR,,6494,九齊,股票
2014,TW0006496003,2016/01/07,上櫃,生技醫療業,ESVUFR,,6496,科懋,股票
2015,TW0006498009,2025/05/20,上櫃,光電業,ESVUFR,,6498,久禾光,股票
2016,TW0006499007,2016/07/27,上櫃,生技醫療業,ESVUFR,,6499,益安,股票
2017,TW0006506009,2011/05/03,上櫃,紡織纖維,ESVUFR,,6506,雙邦,股票
2018,TW0006508005,2004/03/22,上櫃,農業科技業,ESVUFR,,6508,惠光,股票
2019,TW0006509003,2004/04/12,上櫃,化學工業,ESVUFR,,6509,聚和,股票
2020,TW0006510001,2016/03/24,上櫃,半導體業,ESVUFR,,6510,精測,股票
2021,TW0006512007,2016/03/25,上櫃,其他電子業,ESVUFR,,6512,啟發電,股票
2022,TW0006516008,2019/05/06,上櫃,資訊服務業,ESVUFR,,6516,勤崴國際,股票
2023,TW0006517006,2022/12/15,上櫃,光電業,ESVUFR,,6517,保勝光學,股票
2024,TW0006523004,2016/06/16,上櫃,生技醫療業,ESVUFR,,6523,達爾膚,股票
2025,TW0006527005,2019/12/25,上櫃,生技醫療業,ESVUFR,,6527,明達醫,股票
2026,TW0006530009,2018/01/23,上櫃,通信網路業,ESVUFR,,6530,創威,股票
2027,TW0006532005,2016/09/26,上櫃,半導體業,ESVUFR,,6532,瑞耘,股票
2028,TW0006535008,2016/09/26,上櫃,生技醫療業,ESVUFR,,6535,順藥,股票
2029,TW0006538002,2016/10/21,上櫃,電子零組件業,ESVUFR,,6538,倉和,股票
2030,TW0006542004,2016/09/08,上櫃,文化創意業,ESVUFR,,6542,隆中,股票
2031,TW0006546005,2022/05/24,上櫃,通信網路業,ESVUFR,,6546,正基,股票
2032,TW0006547003,2018/04/17,上櫃,生技醫療業,ESVUFR,,6547,高端疫苗,股票
2033,TW0006548001,2016/09/13,上櫃,半導體業,ESVUFR,,6548,長科*,股票
2034,TW0006556004,2017/10/31,上櫃,光電業,ESVUFR,,6556,勝品,股票
2035,TW0006560006,2017/01/24,上櫃,光電業,ESVUFR,,6560,欣普羅,股票
2036,TW0006561004,2018/06/05,上櫃,通信網路業,ESVUFR,,6561,是方,股票
2037,TW0006568009,2016/12/28,上櫃,半導體業,ESVUFR,,6568,宏觀,股票
